text,label
"BREAKING: Scientists discover that Earth is actually flat, NASA admits decades of lies and cover-ups!",1
"New climate report shows significant increase in global temperatures over the past decade, urging immediate action.",0
"SHOCKING: Billionaire reveals secret to becoming rich overnight with this one weird trick that banks don't want you to know!",1
"Stock markets show volatility amid concerns about inflation and interest rates, analysts recommend caution.",0
"Aliens have been living among us for decades, government finally admits the truth in leaked documents!",1
"Research team develops new vaccine that shows promise in clinical trials for treating infectious diseases.",0
"New study shows that drinking 10 cups of coffee daily makes you immortal and prevents all diseases!",1
"Government announces infrastructure investment plan to modernize transportation and create jobs.",0
"URGENT: Your phone is listening to everything you say, delete it now before it's too late!",1
"Study reveals correlation between regular exercise and improved mental health outcomes in adults.",0
"Celebrity reveals shocking secret: they are actually a robot from the future sent to save humanity!",1
"Tech company releases quarterly earnings report, revenue exceeds analyst expectations.",0
"Government plans to replace all birds with surveillance drones by next year according to insider!",1
"International summit brings together world leaders to discuss economic cooperation and trade agreements.",0
"Miracle cure discovered: this simple fruit can cure all diseases including cancer and diabetes!",1
"New archaeological discovery sheds light on ancient civilization practices and cultural traditions.",0
"BREAKING: Time travel is real and you can do it with this simple method using household items!",1
"University researchers publish findings on renewable energy efficiency improvements and cost reduction.",0
"Scientists confirm chocolate is better than vegetables for weight loss, doctors shocked!",1
"Healthcare officials recommend updated guidelines for disease prevention and vaccination schedules.",0
"EXPOSED: Hidden agenda behind all major news outlets to control your mind with subliminal messages!",1
"Local community organizes fundraiser to support families affected by recent natural disaster.",0
"Billionaires are secretly lizard people controlling the world government from underground bases!",1
"Education department announces new programs to improve literacy rates among elementary students.",0
"Drinking bleach cures coronavirus, medical establishment trying to hide this miracle cure!",1
"Research shows air quality improvements in major cities following stricter emissions regulations.",0
"5G towers are causing brain damage and controlling our thoughts, wake up sheeple!",1
"Technology firm announces breakthrough in artificial intelligence for medical diagnosis applications.",0
"URGENT: All major food brands are poisoning us with toxic chemicals to reduce population!",1
"Agricultural experts report successful trials of drought-resistant crop varieties in arid regions.",0
"Secret society of elite billionaires planning to enslave humanity with microchip implants!",1
"Scientists discover new species of marine life in deep ocean exploration expedition.",0
"Vaccines contain microchips designed by government to track and control every citizen!",1
"Economic indicators suggest moderate growth in manufacturing sector during third quarter.",0
"Eating only pizza for breakfast guarantees weight loss, nutritionists hate this trick!",1
"Local hospital successfully performs groundbreaking surgery using advanced robotic technology.",0
"Moon landing was fake, all space missions are Hollywood productions to steal tax money!",1
"Weather service predicts unseasonably warm temperatures for upcoming winter season in region.",0
"Celebrities are drinking baby blood to stay young, leaked photos prove everything!",1
"Museum opens new exhibit featuring artifacts from medieval period and Renaissance era.",0
"Earth's core will explode next month, scientists cover up to prevent panic among citizens!",1
"Transportation authority plans expansion of public transit system to reduce traffic congestion.",0
"Tap water contains mind control drugs administered by shadow government, use only rainwater!",1
"Financial advisors recommend diversifying investment portfolios during economic uncertainty periods.",0
"Obama admits he was born in Kenya and entire presidency was illegal, shocking confession!",1
"Library announces extended hours and new digital resources for students and researchers.",0
"WiFi signals are killing bees and causing cancer, all WiFi must be banned immediately!",1
"Court ruling establishes new precedent for privacy rights in digital age communications.",0
"Scientists create human-dog hybrid in secret laboratory, ethical concerns raised by activists!",1
"Environmental groups celebrate successful reforestation efforts in previously degraded areas.",0
"Every smartphone is radioactive and will explode if you use it near water or fire!",1
"Music festival organizers announce lineup featuring diverse mix of international artists.",0
